Uni	Char	STB	Attest	GB	Big5	Uni	Z
\u5B88	守	B	121	yes	yes	yes	yes
\u5B89	安	B	606	yes	yes	yes	yes
\u5B8A	宊	B	2	no	no	no	no
\u5B8B	宋	B	39	yes	yes	yes	yes
\u5B8C	完	B	66	yes	yes	yes	yes
\u5B8D	宍	B	1	no	no	no	no
\u5B8E	宎	U	0	no	yes	yes	no
\u5B8F	宏	B	30	yes	yes	yes	yes
\u5B90	宐	U	0	no	no	yes	no
\u5B91	宑	U	0	no	no	yes	no
\u5B92	宒	U	0	no	yes	yes	no
\u5B93	宓	B	2	yes	yes	yes	yes
\u5B95	宕	B	12	yes	yes	yes	yes
\u5B96	宖	U	0	no	no	yes	no
\u5B97	宗	B	102	yes	yes	yes	yes
\u5B98	官	B	200	yes	yes	yes	yes
\u5B99	宙	B	17	yes	yes	yes	yes
\u5B9A	定	B	413	yes	yes	yes	yes
\u5B9B	宛	B	12	yes	yes	yes	yes
\u5B9C	宜	B	85	yes	yes	yes	yes
\u5B9D	宝	S	157	yes	no	yes	yes
\u5B9E	实	S	247	yes	no	yes	yes
\u5B9F	実	B	1	no	no	yes	no
\u5BA0	宠	S	20	yes	no	yes	yes
\u5BA1	审	S	85	yes	no	yes	yes
\u5BA2	客	B	183	yes	yes	yes	yes
\u5BA3	宣	B	71	yes	yes	yes	yes
\u5BA4	室	B	132	yes	yes	yes	yes
\u5BA5	宥	B	2	yes	yes	yes	yes
\u5BA6	宦	B	11	yes	yes	yes	yes
\u5BA7	宧	B	1	no	yes	yes	no
\u5BA8	宨	B	1	no	yes	yes	no
\u5BA9	宩	B	1	no	no	yes	no
\u5BAA	宪	S	25	yes	no	yes	yes
\u5BAB	宫	S	93	yes	no	yes	yes
\u5BAC	宬	B	1	no	yes	yes	no
\u5BAD	宭	U	0	no	yes	yes	no
\u5BAE	宮	T	93	no	yes	yes	no
\u5BB0	宰	B	20	yes	yes	yes	yes
\u5BB3	害	B	113	yes	yes	yes	yes
\u5BB4	宴	B	28	yes	yes	yes	yes
\u5BB5	宵	B	14	yes	yes	yes	yes
\u5BB6	家	B	661	yes	yes	yes	yes
\u5BB7	宷	U	0	no	no	yes	no
\u5BB8	宸	B	1	yes	yes	yes	yes
\u5BB9	容	B	132	yes	yes	yes	yes
\u5BBC	宼	T	1	no	no	no	no
\u5BBD	宽	S	83	yes	no	yes	yes
\u5BBE	宾	S	82	yes	no	yes	yes
\u5BBF	宿	B	84	yes	yes	yes	yes
\u5BC0	寀	B	1	no	yes	yes	no
\u5BC1	寁	B	1	no	yes	yes	no
\u5BC2	寂	B	19	yes	yes	yes	yes
\u5BC3	寃	T	1	no	no	yes	no
\u5BC4	寄	B	54	yes	yes	yes	yes
\u5BC5	寅	B	11	yes	yes	yes	yes
\u5BC6	密	B	206	yes	yes	yes	yes
\u5BC7	寇	B	16	yes	yes	yes	yes
\u5BC9	寉	U	0	no	no	yes	no
\u5BCA	寊	U	0	no	yes	yes	no
\u5BCB	寋	U	0	no	yes	yes	no
\u5BCC	富	B	135	yes	yes	yes	yes
\u5BCD	寍	U	0	no	yes	yes	no
\u5BCE	寎	B	1	no	yes	yes	no
\u5BD0	寐	B	8	yes	yes	yes	yes
\u5BD1	寑	T	1	no	yes	yes	no
\u5BD2	寒	B	88	yes	yes	yes	yes
\u5BD3	寓	B	12	yes	yes	yes	yes
\u5BD4	寔	B	1	no	yes	yes	no
\u5BD5	寕	T	1	no	no	yes	no
\u5BD6	寖	B	1	no	yes	yes	no
\u5BD7	寗	B	1	no	no	yes	no
\u5BD8	寘	B	1	no	yes	yes	no
\u5BD9	寙	B	1	no	yes	yes	no
\u5BDB	寛	B	1	no	no	yes	no
\u5BDD	寝	S	17	yes	no	yes	yes
\u5BDE	寞	B	4	yes	yes	yes	yes
\u5BDF	察	B	113	yes	yes	yes	yes
\u5BE0	寠	B	1	no	yes	yes	no
\u5BE1	寡	B	40	yes	yes	yes	yes
\u5BE2	寢	T	16	no	yes	yes	no
\u5BE3	寣	U	0	no	yes	yes	no
\u5BE4	寤	B	2	yes	yes	yes	yes
\u5BE5	寥	B	9	yes	yes	yes	yes
\u5BE6	實	T	247	no	yes	yes	no
\u5BE7	寧	T	230	no	yes	yes	no
\u5BE8	寨	B	33	yes	yes	yes	yes
\u5BE9	審	T	85	no	yes	yes	no
\u5BEA	寪	B	1	no	yes	yes	no
\u5BEB	寫	T	84	no	yes	yes	no
\u5BEC	寬	T	83	no	yes	yes	no
\u5BEE	寮	B	18	yes	yes	yes	yes
\u5BEF	寯	U	0	no	yes	yes	no
\u5BF0	寰	B	6	yes	yes	yes	yes
\u5BF1	寱	U	0	no	yes	yes	no
\u5BF2	寲	U	0	no	yes	yes	no
\u5BF3	寳	T	1	no	no	yes	no
\u5BF5	寵	T	20	no	yes	yes	no
\u5BF6	寶	T	156	no	yes	yes	no
\u5BF8	寸	B	37	yes	yes	yes	yes
\u5BF9	对	S	305	yes	no	yes	yes
\u5BFA	寺	B	45	yes	yes	yes	yes
\u5BFB	寻	S	57	yes	no	yes	yes
\u5BFC	导	S	152	yes	no	yes	yes
\u5BFE	対	B	1	no	no	no	no
\u5BFF	寿	S	76	yes	no	yes	yes
\u5C01	封	B	95	yes	yes	yes	yes
\u5C02	専	B	1	no	no	yes	no
\u5C03	尃	B	1	no	yes	yes	no
\u5C04	射	B	218	yes	yes	yes	yes
\u5C05	尅	T	1	no	no	yes	no
\u5C06	将	S	91	yes	no	yes	yes
\u5C07	將	T	91	no	yes	yes	no
\u5C08	專	T	108	no	yes	yes	no
\u5C09	尉	B	19	yes	yes	yes	yes
\u5C0A	尊	B	57	yes	yes	yes	yes
\u5C0B	尋	T	57	no	yes	yes	no
\u5C0C	尌	B	1	no	yes	yes	no
\u5C0D	對	T	305	no	yes	yes	no
\u5C0E	導	T	152	no	yes	yes	no
\u5C0F	小	B	558	yes	yes	yes	yes
\u5C10	尐	U	0	no	yes	yes	no
\u5C11	少	B	106	yes	yes	yes	yes
\u5C12	尒	T	1	no	yes	yes	no
\u5C13	尓	B	1	no	no	yes	no
\u5C14	尔	S	826	yes	no	yes	yes
\u5C15	尕	B	4	yes	yes	yes	yes
\u5C16	尖	B	78	yes	yes	yes	yes
\u5C17	尗	B	1	no	no	no	no
\u5C18	尘	S	50	yes	no	yes	yes
\u5C19	尙	B	3	no	no	yes	no
\u5C1A	尚	B	47	yes	yes	yes	yes
\u5C1C	尜	B	4	yes	no	yes	yes
\u5C1D	尝	S	19	yes	no	yes	yes
\u5C1E	尞	U	0	no	no	yes	no
\u5C1F	尟	T	1	no	yes	yes	no
\u5C20	尠	T	1	no	no	yes	no
\u5C21	尡	U	0	no	no	yes	no
\u5C22	尢	B	1	yes	yes	yes	yes
\u5C23	尣	U	0	no	no	yes	yes
\u5C24	尤	B	28	yes	yes	yes	yes
\u5C25	尥	B	2	yes	yes	yes	yes
\u5C26	尦	U	0	no	no	yes	no
\u5C27	尧	S	9	yes	no	yes	yes
\u5C28	尨	B	3	no	yes	yes	no
\u5C29	尩	B	1	no	no	no	no
\u5C2A	尪	B	1	no	yes	yes	no
\u5C2C	尬	B	2	yes	yes	yes	yes
\u5C2D	尭	B	1	no	no	yes	no
\u5C2E	尮	U	0	no	no	yes	no
\u5C30	尰	B	1	no	yes	yes	no
\u5C31	就	B	93	yes	yes	yes	yes
\u5C32	尲	B	1	no	no	yes	no
\u5C33	尳	U	0	no	yes	yes	no
\u5C34	尴	S	2	yes	no	yes	yes
\u5C36	尶	B	1	no	no	no	no
\u5C37	尷	T	2	no	yes	yes	no
\u5C38	尸	B	40	yes	yes	yes	yes
\u5C39	尹	B	5	yes	yes	yes	yes
\u5C3A	尺	B	62	yes	yes	yes	yes
\u5C3B	尻	B	3	yes	yes	yes	yes
\u5C3C	尼	B	315	yes	yes	yes	yes
\u5C3D	尽	S	120	yes	no	yes	yes
\u5C3E	尾	B	133	yes	yes	yes	yes
\u5C3F	尿	B	51	yes	yes	yes	yes
\u5C40	局	B	162	yes	yes	yes	yes
\u5C41	屁	B	38	yes	yes	yes	yes
\u5C42	层	S	185	yes	no	yes	yes
\u5C43	屃	S	3	no	no	yes	no
\u5C44	屄	B	7	no	yes	yes	no
\u5C45	居	B	143	yes	yes	yes	yes
\u5C46	屆	T	11	no	yes	yes	no
\u5C47	屇	B	1	no	yes	yes	no
\u5C48	屈	B	41	yes	yes	yes	yes
\u5C49	屉	S	4	yes	no	yes	yes
\u5C4A	届	S	11	yes	no	yes	yes
\u5C4B	屋	B	53	yes	yes	yes	yes
\u5C4C	屌	B	2	no	yes	yes	no
\u5C4D	屍	T	38	no	yes	yes	no
\u5C4E	屎	B	27	yes	yes	yes	yes
\u5C4F	屏	B	49	yes	yes	yes	yes
\u5C50	屐	B	2	yes	yes	yes	yes
\u5C51	屑	B	17	yes	yes	yes	yes
\u5C53	屓	T	1	no	no	yes	no
\u5C54	屔	U	0	no	yes	yes	no
\u5C55	展	B	97	yes	yes	yes	yes
\u5C56	屖	B	1	no	yes	yes	no
\u5C57	屗	U	0	no	no	yes	no
\u5C58	屘	B	1	no	yes	yes	no
\u5C59	屙	B	3	yes	yes	yes	yes
\u5C5B	屛	B	1	no	no	no	no
\u5C5C	屜	T	4	no	yes	yes	no
\u5C5D	屝	B	1	no	yes	yes	no
\u5C5E	属	S	116	yes	no	yes	yes
\u5C60	屠	B	29	yes	yes	yes	yes
\u5C61	屡	S	17	yes	no	yes	yes
\u5C62	屢	T	17	no	yes	yes	no
\u5C63	屣	B	6	yes	yes	yes	yes
\u5C64	層	T	185	no	yes	yes	no
\u5C65	履	B	25	yes	yes	yes	yes
\u5C66	屦	S	1	yes	no	yes	yes
\u5C67	屧	B	1	no	yes	yes	no
\u5C68	屨	T	1	no	yes	yes	no
\u5C69	屩	B	1	no	yes	yes	no
\u5C6A	屪	B	1	no	yes	yes	no
\u5C6B	屫	B	1	no	no	no	no
\u5C6C	屬	T	116	no	yes	yes	no
\u5C6D	屭	T	2	no	yes	yes	no
\u5C6E	屮	B	1	yes	yes	yes	yes
\u5C6F	屯	B	39	yes	yes	yes	yes
\u5C70	屰	U	0	no	no	yes	no
\u5C71	山	B	909	yes	yes	yes	yes
\u5C73	屳	U	0	no	yes	yes	no
\u5C74	屴	B	1	no	yes	yes	no
\u5C78	屸	U	0	no	no	yes	no
\u5C79	屹	B	2	yes	yes	yes	yes
\u5C7A	屺	B	1	yes	yes	yes	yes
\u5C7B	屻	U	0	no	yes	yes	no
\u5C7C	屼	B	1	no	yes	yes	no
\u5C7E	屾	U	0	no	yes	yes	no
\u5C7F	屿	S	14	yes	no	yes	yes
\u5C80	岀	B	1	no	no	no	no
\u5C81	岁	S	46	yes	no	yes	yes
\u5C82	岂	S	7	yes	no	yes	yes
\u5C85	岅	T	1	no	no	yes	no
\u5C86	岆	U	0	no	yes	yes	no
\u5C88	岈	U	0	yes	yes	yes	yes
\u5C89	岉	U	0	no	yes	yes	no
\u5C8A	岊	B	1	no	yes	yes	no
\u5C8B	岋	U	0	no	yes	yes	no
\u5C8C	岌	B	4	yes	yes	yes	yes
\u5C8D	岍	B	1	yes	yes	yes	yes
\u5C8F	岏	U	0	no	yes	yes	no
\u5C90	岐	B	8	yes	yes	yes	yes
\u5C91	岑	B	8	yes	yes	yes	yes
\u5C92	岒	B	1	no	yes	yes	no
\u5C93	岓	U	0	no	yes	yes	no
\u5C94	岔	B	19	yes	yes	yes	yes
\u5C95	岕	U	0	no	yes	yes	no
\u5C96	岖	S	2	yes	no	yes	yes
\u5C97	岗	S	43	yes	no	yes	yes
\u5C98	岘	S	3	yes	no	yes	yes
\u5C99	岙	S	1	yes	no	yes	yes
\u5C9A	岚	S	9	yes	no	yes	yes
\u5C9B	岛	S	249	yes	no	yes	yes
\u5C9C	岜	U	0	yes	no	yes	yes
\u5C9D	岝	B	1	no	yes	yes	no
\u5C9E	岞	U	0	no	no	yes	no
\u5C9F	岟	U	0	no	yes	yes	no
\u5CA0	岠	U	0	no	yes	yes	no
\u5CA1	岡	T	44	no	yes	yes	no
\u5CA2	岢	B	3	yes	yes	yes	yes
\u5CA3	岣	B	1	yes	yes	yes	yes
\u5CA4	岤	U	0	no	yes	yes	no
\u5CA5	岥	U	0	no	yes	yes	no
\u5CA6	岦	U	0	no	yes	yes	no
\u5CA7	岧	B	1	no	yes	yes	no
\u5CA8	岨	B	1	no	yes	yes	no
\u5CA9	岩	B	113	yes	yes	yes	yes
\u5CAA	岪	U	0	no	yes	yes	no
\u5CAB	岫	B	3	yes	yes	yes	yes
\u5CAC	岬	B	4	yes	yes	yes	yes
\u5CAD	岭	S	60	yes	yes	yes	yes
\u5CAE	岮	U	0	no	yes	yes	no
\u5CAF	岯	U	0	no	yes	yes	no
\u5CB0	岰	U	0	no	yes	yes	no
\u5CB1	岱	B	10	yes	yes	yes	yes
\u5CB3	岳	B	46	yes	yes	yes	yes
\u5CB5	岵	B	1	yes	yes	yes	yes
\u5CB6	岶	U	0	no	yes	yes	no
\u5CB7	岷	B	3	yes	yes	yes	yes
\u5CB8	岸	B	48	yes	yes	yes	yes
\u5CB9	岹	B	1	no	no	no	no
\u5CBA	岺	U	0	no	no	yes	no
\u5CBD	岽	S	1	yes	no	yes	yes
\u5CBF	岿	S	1	yes	no	yes	yes
\u5CC0	峀	B	1	no	no	yes	no
\u5CC1	峁	B	1	yes	no	yes	yes
\u5CC2	峂	B	1	no	no	yes	no
\u5CC4	峄	S	3	yes	no	yes	yes
\u5CC6	峆	U	0	no	yes	yes	no
\u5CC7	峇	B	6	no	yes	yes	no
\u5CC8	峈	U	0	no	yes	yes	no
\u5CC9	峉	U	0	no	yes	yes	no
\u5CCA	峊	U	0	no	yes	yes	no
\u5CCB	峋	B	3	yes	yes	yes	yes
\u5CCC	峌	U	0	no	yes	yes	no
\u5CCE	峎	U	0	no	yes	yes	no
\u5CCF	峏	U	0	no	yes	yes	no
\u5CD0	峐	U	0	no	yes	yes	no
\u5CD1	峑	U	0	no	no	yes	no
\u5CD2	峒	B	8	yes	yes	yes	yes
\u5CD3	峓	B	1	no	yes	yes	no
\u5CD4	峔	U	0	no	yes	yes	no
\u5CD5	峕	U	0	no	no	yes	no
\u5CD6	峖	U	0	no	yes	yes	no
\u5CD7	峗	U	0	no	yes	yes	no
\u5CD8	峘	U	0	no	yes	yes	no
\u5CD9	峙	B	6	yes	yes	yes	yes
\u5CDA	峚	U	0	no	yes	yes	no
\u5CDB	峛	U	0	no	yes	yes	no
\u5CDD	峝	T	1	no	no	no	no
\u5CDE	峞	B	1	no	yes	yes	no
\u5CDF	峟	U	0	no	yes	yes	no
\u5CE0	峠	B	1	no	no	no	no
\u5CE1	峡	S	57	yes	no	yes	yes
\u5CE3	峣	S	1	no	no	no	no
\u5CE4	峤	S	1	yes	no	yes	yes
\u5CE5	峥	S	5	yes	no	yes	yes
\u5CE6	峦	S	12	yes	no	yes	yes
\u5CE7	峧	U	0	no	no	yes	no
\u5CE8	峨	B	18	yes	yes	yes	yes
\u5CE9	峩	T	1	no	no	yes	no
\u5CEA	峪	B	4	yes	yes	yes	yes
\u5CEC	峬	U	0	no	yes	yes	no
\u5CED	峭	B	8	yes	yes	yes	yes
\u5CEE	峮	U	0	no	yes	yes	no
\u5CEF	峯	T	1	no	no	yes	no
\u5CF0	峰	B	96	yes	yes	yes	yes
\u5CF1	峱	B	1	no	yes	yes	no
\u5CF4	峴	T	3	no	yes	yes	no
\u5CF5	峵	U	0	no	no	yes	no
\u5CF6	島	T	248	no	yes	yes	no
\u5CF7	峷	U	0	no	yes	yes	no
\u5CF8	峸	U	0	no	yes	yes	no
\u5CF9	峹	B	1	no	yes	yes	no
\u5CFB	峻	B	14	yes	yes	yes	yes
\u5CFC	峼	U	0	no	no	yes	no
\u5CFD	峽	T	57	no	yes	yes	no
\u5CFE	峾	U	0	no	no	yes	no
\u5CFF	峿	B	1	no	yes	yes	no
\u5D00	崀	B	1	no	yes	yes	no
\u5D01	崁	B	4	no	yes	yes	no
\u5D02	崂	S	3	yes	no	yes	yes
\u5D03	崃	S	5	yes	no	yes	yes
\u5D04	崄	S	1	no	no	no	no
\u5D06	崆	B	3	yes	yes	yes	yes
\u5D07	崇	B	42	yes	yes	yes	yes
\u5D0A	崊	U	0	no	no	yes	no
\u5D0B	崋	B	1	no	yes	yes	no
\u5D0C	崌	B	1	no	yes	yes	no
\u5D0D	崍	T	5	no	yes	yes	no
\u5D0E	崎	B	16	yes	yes	yes	yes
\u5D0F	崏	B	1	no	yes	yes	no
\u5D10	崐	T	1	no	no	yes	no
\u5D11	崑	T	14	no	yes	yes	no
\u5D12	崒	B	2	no	yes	yes	no
\u5D13	崓	B	1	no	no	no	no
\u5D14	崔	B	13	yes	yes	yes	yes
\u5D15	崕	U	0	no	no	yes	no
\u5D16	崖	B	22	yes	yes	yes	yes
\u5D17	崗	T	43	no	yes	yes	no
\u5D18	崘	T	1	no	no	yes	no
\u5D19	崙	T	17	no	yes	yes	no
\u5D1A	崚	B	1	no	yes	yes	no
\u5D1B	崛	B	5	yes	yes	yes	yes
\u5D1D	崝	U	0	no	yes	yes	no
\u5D1E	崞	B	1	yes	yes	yes	yes
\u5D1F	崟	B	1	no	yes	yes	no
\u5D20	崠	B	1	no	yes	yes	no
\u5D22	崢	T	5	no	yes	yes	no
\u5D23	崣	U	0	no	yes	yes	no
\u5D24	崤	B	1	yes	yes	yes	yes
\u5D25	崥	U	0	no	yes	yes	no
\u5D26	崦	B	1	yes	yes	yes	yes
\u5D27	崧	B	1	yes	yes	yes	yes
\u5D28	崨	U	0	no	yes	yes	no
\u5D29	崩	B	32	yes	yes	yes	yes
\u5D2C	崬	T	1	no	no	yes	no
\u5D2D	崭	S	11	yes	no	yes	yes
\u5D2E	崮	B	4	yes	yes	yes	yes
\u5D2F	崯	B	1	no	no	yes	no
\u5D30	崰	U	0	no	yes	yes	no
\u5D31	崱	B	1	no	yes	yes	no
\u5D32	崲	U	0	no	yes	yes	no
\u5D33	崳	B	1	no	yes	yes	no
\u5D34	崴	B	2	yes	yes	yes	yes
\u5D35	崵	U	0	no	yes	yes	no
\u5D36	崶	B	1	no	yes	yes	no
\u5D37	崷	U	0	no	yes	yes	no
\u5D38	崸	U	0	no	yes	yes	no
\u5D39	崹	U	0	no	yes	yes	no
\u5D3A	崺	U	0	no	yes	yes	no
\u5D3C	崼	U	0	no	yes	yes	no
\u5D3D	崽	B	7	yes	yes	yes	yes
\u5D3E	崾	U	0	yes	no	yes	yes
\u5D3F	崿	B	1	no	yes	yes	no
\u5D40	嵀	U	0	no	yes	yes	no
\u5D41	嵁	U	0	no	yes	yes	no
\u5D42	嵂	B	1	no	yes	yes	no
\u5D43	嵃	U	0	no	yes	yes	no
\u5D44	嵄	B	1	no	no	no	no
\u5D45	嵅	U	0	no	yes	yes	no
\u5D46	嵆	U	0	no	no	yes	no
\u5D47	嵇	B	1	yes	yes	yes	yes
\u5D48	嵈	U	0	no	no	yes	no
\u5D49	嵉	U	0	no	yes	yes	no
\u5D4A	嵊	B	7	yes	yes	yes	yes
\u5D4B	嵋	B	4	yes	yes	yes	yes
\u5D4C	嵌	B	7	yes	yes	yes	yes
\u5D4E	嵎	B	1	no	yes	yes	no
\u5D50	嵐	T	9	no	yes	yes	no
\u5D51	嵑	U	0	no	yes	yes	no
\u5D52	嵒	T	1	no	yes	yes	no
\u5D53	嵓	B	1	no	no	no	no
\u5D55	嵕	U	0	no	yes	yes	no
\u5D56	嵖	U	0	no	no	yes	no
\u5D57	嵗	T	1	no	no	yes	no
\u5D58	嵘	S	4	yes	no	yes	yes
\u5D59	嵙	B	1	no	yes	yes	no
\u5D5A	嵚	S	1	no	no	no	no
\u5D5B	嵛	B	2	yes	no	yes	yes
\u5D5D	嵝	S	1	yes	no	yes	yes
\u5D5E	嵞	B	2	no	yes	yes	no
\u5D61	嵡	B	1	no	no	no	no
\u5D62	嵢	U	0	no	yes	yes	no
\u5D63	嵣	U	0	no	yes	yes	no
\u5D65	嵥	U	0	no	yes	yes	no
\u5D67	嵧	U	0	no	yes	yes	no
\u5D68	嵨	U	0	no	yes	yes	no
\u5D69	嵩	B	8	yes	yes	yes	yes
\u5D6B	嵫	B	1	yes	yes	yes	yes
\u5D6C	嵬	B	3	yes	yes	yes	yes
\u5D6F	嵯	B	1	yes	yes	yes	yes
\u5D70	嵰	U	0	no	no	yes	no
\u5D71	嵱	U	0	no	yes	yes	no
\u5D72	嵲	U	0	no	yes	yes	no
\u5D74	嵴	B	2	yes	no	yes	yes
\u5D77	嵷	U	0	no	yes	yes	no
\u5D78	嵸	U	0	no	no	yes	no
\u5D79	嵹	U	0	no	yes	yes	no
\u5D7A	嵺	U	0	no	yes	yes	no
\u5D7B	嵻	U	0	no	no	yes	no
\u5D7C	嵼	B	1	no	yes	yes	no
\u5D7D	嵽	U	0	no	yes	yes	no
\u5D7E	嵾	B	1	no	yes	yes	no
\u5D7F	嵿	U	0	no	yes	yes	no
\u5D80	嶀	U	0	no	yes	yes	no
\u5D81	嶁	T	1	no	yes	yes	no
\u5D82	嶂	B	3	yes	yes	yes	yes
\u5D83	嶃	T	2	no	no	no	no
\u5D84	嶄	T	9	no	yes	yes	no
\u5D85	嶅	U	0	no	no	yes	no
\u5D86	嶆	U	0	no	yes	yes	no
\u5D87	嶇	T	2	no	yes	yes	no
\u5D88	嶈	U	0	no	yes	yes	no
\u5D89	嶉	U	0	no	yes	yes	no
\u5D8A	嶊	U	0	no	yes	yes	no
\u5D8B	嶋	B	1	no	no	yes	no
\u5D8C	嶌	B	2	no	no	no	no
\u5D8D	嶍	U	0	no	yes	yes	no
\u5D8E	嶎	U	0	no	no	yes	no
\u5D92	嶒	B	1	no	yes	yes	no
\u5D93	嶓	B	1	no	yes	yes	no
\u5D94	嶔	T	1	no	yes	yes	no
\u5D95	嶕	U	0	no	yes	yes	no
\u5D96	嶖	B	1	no	no	no	no
\u5D97	嶗	T	3	no	yes	yes	no
\u5D99	嶙	B	3	yes	yes	yes	yes
\u5D9A	嶚	U	0	no	yes	yes	no
\u5D9C	嶜	U	0	no	yes	yes	no
\u5D9D	嶝	B	1	yes	yes	yes	yes
\u5D9E	嶞	B	1	no	yes	yes	no
\u5D9F	嶟	U	0	no	yes	yes	no
\u5DA0	嶠	T	1	no	yes	yes	no
\u5DA1	嶡	B	2	no	yes	yes	no
\u5DA2	嶢	T	1	no	yes	yes	no
\u5DA4	嶤	U	0	no	no	yes	no
\u5DA7	嶧	T	3	no	yes	yes	no
\u5DA8	嶨	B	1	no	yes	yes	no
\u5DA9	嶩	U	0	no	yes	yes	no
\u5DAA	嶪	B	2	no	yes	yes	no
\u5DAB	嶫	B	1	no	no	yes	no
\u5DAC	嶬	U	0	no	yes	yes	no
\u5DAD	嶭	B	1	no	yes	yes	no
\u5DAE	嶮	T	1	no	yes	yes	no
\u5DAF	嶯	U	0	no	yes	yes	no
\u5DB0	嶰	B	1	no	yes	yes	no
\u5DB1	嶱	U	0	no	yes	yes	no
\u5DB2	嶲	B	1	no	yes	yes	no
\u5DB4	嶴	T	1	no	yes	yes	no
\u5DB5	嶵	U	0	no	yes	yes	no
\u5DB6	嶶	U	0	no	no	yes	no
\u5DB7	嶷	B	2	yes	yes	yes	yes
\u5DB8	嶸	T	4	no	yes	yes	no
\u5DB9	嶹	U	0	no	no	yes	no
\u5DBA	嶺	T	60	no	yes	yes	no
\u5DBC	嶼	T	14	no	yes	yes	no
\u5DBD	嶽	T	19	no	yes	yes	no
\u5DC0	巀	U	0	no	yes	yes	no
\u5DC1	巁	U	0	no	no	yes	no
\u5DC2	巂	B	2	no	yes	yes	no
\u5DC3	巃	B	1	no	yes	yes	no
\u5DC5	巅	S	4	yes	no	yes	yes
\u5DC6	巆	B	4	no	yes	yes	no
\u5DC7	巇	B	1	no	yes	yes	no
\u5DC9	巉	B	1	no	yes	yes	no
\u5DCB	巋	T	1	no	yes	yes	no
\u5DCC	巌	B	1	no	no	no	no
\u5DCD	巍	B	12	yes	yes	yes	yes
\u5DCF	巏	U	0	no	yes	yes	no
\u5DD1	巑	U	0	no	yes	yes	no
\u5DD2	巒	T	12	no	yes	yes	no
\u5DD3	巓	B	1	no	no	no	no
\u5DD4	巔	T	4	no	yes	yes	no
\u5DD5	巕	U	0	no	yes	yes	no
\u5DD6	巖	T	8	no	yes	yes	no
\u5DD7	巗	T	1	no	no	yes	no
\u5DD8	巘	B	1	no	yes	yes	no
\u5DDA	巚	B	1	no	no	no	no
\u5DDB	巛	B	1	yes	no	yes	yes
\u5DDC	巜	B	1	no	no	no	no
\u5DDD	川	B	151	yes	yes	yes	yes
\u5DDE	州	B	426	yes	yes	yes	yes
\u5DDF	巟	B	1	no	yes	yes	no
\u5DE0	巠	B	1	no	yes	yes	no
\u5DE1	巡	B	30	yes	yes	yes	yes
\u5DE2	巢	B	31	yes	yes	yes	yes
\u5DE3	巣	B	1	no	no	no	no
\u5DE4	巤	B	1	no	no	no	no
\u5DE5	工	B	419	yes	yes	yes	yes
\u5DE6	左	B	86	yes	yes	yes	yes
\u5DE7	巧	B	55	yes	yes	yes	yes
\u5DE8	巨	B	63	yes	yes	yes	yes
\u5DE9	巩	S	12	yes	no	yes	yes
\u5DEA	巪	U	0	no	no	yes	no
\u5DEB	巫	B	23	yes	yes	yes	yes
\u5DEC	巬	U	0	no	no	yes	no
\u5DED	巭	U	0	no	no	yes	no
\u5DEE	差	B	127	yes	yes	yes	yes
\u5DEF	巯	S	1	yes	no	yes	yes
\u5DF0	巰	T	1	no	yes	yes	no
\u5DF1	己	B	76	yes	yes	yes	yes
\u5DF2	已	B	48	yes	yes	yes	yes
\u5DF3	巳	B	8	yes	yes	yes	yes
\u5DF4	巴	B	435	yes	yes	yes	yes
\u5DF5	巵	T	1	no	no	yes	no
\u5DF7	巷	B	16	yes	yes	yes	yes
\u5DF9	巹	T	4	no	yes	yes	no
\u5DFB	巻	B	1	no	no	no	no
\u5DFC	巼	U	0	no	no	yes	no
\u5DFD	巽	B	3	yes	yes	yes	yes
\u5DFE	巾	B	36	yes	yes	yes	yes
\u5DFF	巿	B	1	no	yes	yes	no
\u5E00	帀	T	1	no	no	no	no
\u5E01	币	S	52	yes	no	yes	yes
\u5E02	市	B	940	yes	yes	yes	yes
\u5E03	布	B	365	yes	yes	yes	yes
\u5E04	帄	B	1	no	yes	yes	no
\u5E05	帅	S	17	yes	no	yes	yes
\u5E06	帆	B	22	yes	yes	yes	yes
\u5E08	师	S	168	yes	no	yes	yes
\u5E09	帉	U	0	no	no	yes	no
\u5E0A	帊	U	0	no	yes	yes	no
\u5E0B	帋	T	1	no	no	yes	no
\u5E0C	希	B	88	yes	yes	yes	yes
\u5E0E	帎	U	0	no	yes	yes	no
\u5E0F	帏	S	2	yes	no	yes	yes
\u5E10	帐	S	46	yes	no	yes	yes
\u5E11	帑	B	2	yes	yes	yes	yes
\u5E12	帒	U	0	no	no	yes	no
\u5E14	帔	B	1	yes	yes	yes	yes
\u5E15	帕	B	64	yes	yes	yes	yes
\u5E16	帖	B	31	yes	yes	yes	yes
\u5E17	帗	B	1	no	yes	yes	no
\u5E18	帘	B	14	yes	yes	yes	yes
\u5E19	帙	B	5	yes	yes	yes	yes
\u5E1A	帚	B	9	yes	yes	yes	yes
\u5E1B	帛	B	9	yes	yes	yes	yes
\u5E1C	帜	S	7	yes	no	yes	yes
\u5E1D	帝	B	96	yes	yes	yes	yes
\u5E1F	帟	B	1	no	yes	yes	no
\u5E20	帠	U	0	no	yes	yes	no
\u5E21	帡	B	1	no	yes	yes	no
\u5E22	帢	U	0	no	yes	yes	no
\u5E23	帣	B	1	no	yes	yes	no
\u5E24	帤	U	0	no	yes	yes	no
\u5E25	帥	T	17	no	yes	yes	no
